quadro,x_cm,y_cm
10,7.95,27.7
11,10.13,13.36
12,22.29,36.86
13,15.7,25.25
14,30.32,4.71
15,41.52,7.01
18,12.24,14.21
19,15.41,25.71
20,33.13,27.82
21,16.77,21.12
22,18.39,36.09
23,13.56,26.15
24,21.99,31.31
25,39.86,26.11
26,7.88,7.31
27,12.56,7.53
28,7.48,6.04
29,33.3,21.69
30,15.53,22.6
31,40.64,4.23
32,25.48,8.54
33,16.43,26.6
34,42.11,22.67
35,3.56,2.42
36,21.0,38.19
37,37.36,1.49
38,15.68,16.6
39,7.32,31.01
40,37.82,11.08
41,0.55,9.75
42,25.73,4.21
43,3.76,26.44
44,12.68,20.46
45,16.89,25.38
48,17.9,26.32
49,28.94,35.03
50,14.3,23.15
51,16.19,15.71
52,17.95,16.71
53,22.47,9.39
54,14.34,28.19
55,25.56,24.85
56,5.77,10.33
57,21.94,36.83
58,16.34,21.67
59,47.76,9.79
60,13.89,25.77
61,11.39,24.99
62,21.0,25.56
66,2.27,14.84
67,21.0,23.35
68,9.63,29.35
69,38.63,4.16
70,10.06,36.7
71,19.96,24.62
72,9.82,39.56
73,15.7,18.99
74,21.0,37.38
75,39.69,36.12
76,19.33,25.83
77,9.71,27.57
78,28.54,23.07
79,5.11,15.91
80,8.42,29.28
81,17.99,22.92
82,12.12,23.48
86,35.67,15.89
87,10.87,14.93
88,20.27,23.46
89,41.2,25.03
90,36.45,27.93
91,29.32,37.58
92,46.38,36.81
93,9.75,29.87
94,39.4,13.67
95,46.22,36.1
96,9.1,18.02
97,10.4,2.49
98,23.88,37.94
99,9.46,35.69
100,38.67,24.44
101,9.96,8.29
102,28.91,30.22
103,19.08,24.32
104,17.95,23.19
105,5.47,16.45
106,16.34,24.41
107,10.18,23.35
110,32.47,31.26
111,23.78,21.37
112,17.16,24.14
113,19.19,24.83
114,43.12,17.22
115,15.88,25.14
116,15.5,35.51
117,19.77,25.65
120,16.74,32.43
121,8.58,25.6
122,30.3,7.04
123,16.92,26.06
124,8.44,27.14
125,12.46,13.96
129,42.96,31.42
130,12.47,26.16
134,12.62,22.07
135,21.0,31.16
136,40.12,31.78
137,4.47,39.98
138,12.02,39.32
139,37.84,15.39
140,16.85,18.51
141,17.23,22.76
142,25.47,17.99
143,3.92,3.69
144,14.78,15.91
145,16.95,22.84
146,15.05,24.86
149,21.94,24.54
150,17.11,26.37
151,46.97,33.1
152,21.0,34.68
153,17.36,22.78
154,16.34,24.32
157,7.5,33.18
158,46.28,23.97
159,17.3,31.85
162,36.61,6.76
163,13.06,20.51
164,18.41,23.64
165,28.47,26.35
166,26.09,38.46
167,16.05,11.6
168,1.53,21.28
169,12.94,17.48
170,17.83,25.58
171,14.1,22.91
174,4.23,6.52
175,21.0,36.43
176,35.74,8.99
177,31.74,17.54
178,17.83,1.92
179,33.19,31.31
180,17.52,17.69
181,23.39,12.89
182,16.38,17.62
183,15.1,23.31
184,12.88,19.1
185,3.12,37.44
