quadro,x_cm,y_cm
6,44.97,13.29
7,40.13,38.04
8,18.27,16.09
9,30.36,28.88
13,16.1,35.96
14,47.35,3.77
15,22.48,18.82
16,13.45,35.0
17,14.28,21.36
18,18.03,25.19
19,26.82,22.33
20,39.22,23.03
21,18.45,10.16
22,10.88,37.17
23,19.04,24.11
24,34.87,23.41
25,1.8,15.37
26,18.69,28.95
29,47.51,0.37
30,0.69,21.22
31,18.88,21.71
32,13.16,21.75
33,17.34,25.92
34,24.0,34.36
35,16.62,25.14
36,24.0,28.77
37,20.3,16.88
38,23.45,31.02
39,32.78,14.79
40,1.81,36.91
41,2.28,26.97
42,39.05,6.52
43,15.35,23.17
44,40.5,33.95
45,36.95,39.2
46,39.32,27.28
47,17.34,22.07
48,18.64,24.75
49,7.03,5.29
50,43.23,6.31
51,19.73,17.6
52,20.11,25.01
53,38.07,21.84
56,44.89,35.7
57,5.55,23.73
58,7.31,29.86
59,6.56,5.18
60,9.56,36.07
61,1.2,27.92
62,9.63,37.13
63,29.45,4.94
64,42.17,34.68
65,13.91,33.93
66,8.5,10.19
67,7.14,33.58
68,14.43,17.65
69,31.47,21.41
70,0.87,17.0
71,38.46,34.07
74,2.68,38.08
75,47.73,2.84
76,40.56,33.13
77,9.46,21.03
78,5.38,14.38
79,22.84,20.72
80,14.28,35.75
81,34.54,37.83
82,19.24,3.68
83,20.02,26.74
84,46.31,4.11
85,45.49,6.78
86,8.18,6.97
87,10.76,4.75
88,34.11,1.83
89,21.41,23.3
90,6.95,36.07
91,8.22,25.9
92,8.03,17.3
93,9.31,9.78
94,16.05,22.84
95,24.0,25.07
96,0.92,15.14
97,17.62,23.61
98,5.62,6.23
99,10.61,1.13
100,9.18,9.07
101,40.81,8.65
102,22.51,22.83
103,20.24,20.8
104,24.27,13.58
105,20.44,34.97
106,10.08,39.2
107,26.91,29.42
108,31.34,27.21
109,19.58,15.43
110,21.36,22.08
111,18.66,29.31
112,37.1,1.96
113,3.58,36.14
114,9.04,33.65
115,21.98,16.83
116,5.44,30.98
117,36.05,38.96
118,15.66,33.36
119,18.23,25.21
120,17.82,23.03
121,15.07,20.59
122,10.09,26.41
123,41.51,26.44
124,41.13,25.4
125,4.07,31.45
129,15.54,22.04
130,42.75,28.95
131,42.71,37.58
132,9.09,20.88
133,24.0,31.55
134,47.73,26.24
135,7.15,29.85
136,4.66,13.11
137,25.43,24.86
138,9.61,13.39
139,19.7,14.25
140,0.41,20.62
141,15.12,27.96
142,4.85,27.45
143,7.81,26.7
144,1.02,11.53
145,24.0,36.98
146,24.7,37.4
147,14.52,15.66
148,0.44,27.65
149,24.0,30.88
150,5.17,32.4
153,43.13,34.87
154,30.78,20.64
155,30.18,26.0
156,8.9,21.15
157,16.72,39.56
158,24.0,35.34
159,3.9,28.39
160,21.51,35.55
161,9.99,8.97
162,0.71,35.23
163,37.13,36.0
164,14.94,13.95
165,7.39,33.11
166,19.46,23.56
167,13.87,18.61
168,40.26,27.05
169,15.39,21.59
170,24.0,36.98
171,24.0,33.49
172,0.8,29.36
173,37.88,27.68
174,33.93,25.79
175,8.36,38.08
176,15.9,21.49
177,4.99,38.93
178,37.77,12.39
179,15.37,24.23
180,3.96,2.92
181,45.67,11.39
182,17.75,25.58
183,24.0,36.51
184,41.75,27.32
185,42.87,7.0
188,30.04,37.6
192,39.35,26.23
193,42.9,12.8
194,20.04,14.95
195,16.05,21.14
196,22.21,9.86
197,17.26,18.49
198,9.36,4.82
199,45.14,6.17
200,3.82,30.54
201,15.61,17.64
202,38.91,34.11
203,31.29,21.87
204,7.55,36.06
205,38.54,16.27
206,37.16,29.02
207,27.4,25.54
208,4.25,25.26
209,31.18,23.49
213,17.13,20.72
214,23.28,37.71
215,20.35,20.92
216,4.47,27.25
217,37.36,33.78
218,9.75,26.38
219,31.83,14.34
220,14.44,24.54
221,38.98,21.74
222,5.77,27.71
223,17.73,22.93
224,35.26,21.12
225,24.0,32.34
226,22.16,24.42
227,4.12,21.5
228,3.79,1.18
229,14.64,22.57
230,27.0,23.38
231,16.92,23.29
232,17.31,19.9
233,24.0,29.16
234,4.74,38.61
235,13.96,19.8
236,18.97,25.26
237,10.59,29.35
238,27.52,21.6
239,21.48,3.9
240,21.21,21.33
241,24.0,36.91
242,35.13,18.49
243,28.61,39.23
244,14.52,31.73
245,14.62,15.97
246,20.56,18.4
247,41.46,36.32
248,42.12,29.38
249,39.2,31.3
250,18.76,13.89
251,20.02,34.24
252,14.5,29.78
253,9.84,28.5
256,4.87,1.76
257,10.71,32.18
258,24.0,27.5
259,4.25,12.19
260,44.14,12.79
261,41.91,36.29
262,38.68,22.55
263,22.05,39.24
264,20.23,22.77
265,17.32,20.64
266,16.61,27.49
267,24.92,32.27
268,16.06,21.86
269,26.62,21.97
270,3.26,33.78
271,20.12,22.95
272,2.16,10.67
273,14.94,20.81
274,19.52,28.89
275,25.5,5.59
276,37.25,26.74
277,10.22,38.99
278,30.19,39.11
279,17.3,22.69
280,24.0,35.73
281,25.5,21.42
284,29.27,37.26
285,15.92,20.73
286,25.26,35.59
287,24.0,25.44
288,24.96,31.1
289,28.66,35.64
290,13.49,35.94
291,30.22,23.7
295,6.7,35.69
296,24.77,35.8
297,34.08,31.49
298,19.28,23.0
299,12.1,26.35
300,7.74,12.57
301,16.87,22.33
302,19.92,16.76
303,31.53,21.7
304,19.94,4.41
305,18.14,23.71
306,2.08,26.22
307,9.39,36.3
308,35.31,36.39
309,32.71,4.52
310,21.32,19.86
311,11.6,24.6
312,2.13,14.66
313,14.5,22.77
316,21.57,21.86
317,20.67,36.75
318,8.52,4.78
319,37.07,37.88
320,27.21,0.37
321,18.7,21.7
322,31.81,29.22
323,19.78,23.74
324,16.81,11.12
325,17.5,24.88
326,3.37,6.96
327,29.33,36.67
330,1.49,16.15
331,30.98,11.41
332,30.18,36.29
333,2.27,12.8
334,16.83,33.67
338,20.57,27.66
339,16.36,29.48
340,19.39,18.36
341,15.43,14.3
342,47.44,28.02
343,7.13,25.62
344,9.96,16.09
345,23.58,24.45
346,27.17,32.48
347,10.27,0.95
348,20.94,24.31
349,20.0,20.83
350,0.85,32.58
351,16.59,0.56
352,33.45,22.09
353,18.02,26.09
354,31.27,25.41
355,25.75,24.83
356,20.45,34.64
357,22.34,21.98
358,17.41,14.02
359,33.11,7.4
360,21.43,22.61
361,16.89,14.91
362,24.0,34.12
363,7.56,31.26
364,15.86,22.73
365,8.31,29.26
366,35.34,36.35
367,19.23,34.93
368,7.44,1.85
369,19.34,21.42
370,1.27,3.22
371,12.32,20.77
372,3.6,34.42
373,43.31,9.86
374,17.63,24.1
375,44.43,10.36
376,2.33,8.91
377,24.0,20.97
378,40.19,31.26
381,30.51,20.76
385,36.6,32.71
386,10.97,2.27
387,43.49,38.64
388,24.0,22.46
389,21.56,15.61
395,30.57,11.16
396,42.85,23.89
397,5.24,24.44
398,18.98,25.76
399,15.4,15.89
400,10.11,22.53
401,3.94,34.74
402,6.69,36.56
403,47.1,18.91
404,6.18,10.08
405,15.84,21.96
406,18.05,32.47
407,13.89,28.58
408,24.0,31.43
409,9.93,17.76
410,19.59,20.28
414,14.4,31.09
415,1.94,10.74
416,15.81,20.32
420,22.68,21.04
421,10.88,11.48
422,17.1,14.78
423,1.06,26.9
424,11.33,1.32
427,18.57,24.08
428,16.52,24.78
429,5.45,15.74
430,16.83,36.56
431,6.09,2.01
432,19.57,22.41
433,25.13,39.49
434,20.36,25.41
435,43.52,34.2
436,5.87,25.42
437,39.59,7.74
438,39.71,11.61
441,27.2,30.59
442,20.25,22.24
443,18.85,23.1
444,1.59,9.61
448,20.82,20.63
449,19.37,25.12
450,37.68,7.7
451,14.6,0.23
452,25.87,35.75
453,47.06,30.74
454,16.95,26.47
455,17.29,31.2
456,9.75,38.84
457,11.98,26.59
458,2.95,37.05
459,45.28,14.12
460,24.0,31.84
461,35.44,10.0
462,24.0,31.02
463,23.39,36.05
464,38.09,13.64
465,3.23,37.87
466,23.17,34.89
467,21.41,22.6
471,28.07,34.49
472,19.19,16.84
473,17.51,25.25
474,13.12,23.1
475,34.17,3.55
476,18.11,24.97
477,15.8,24.85
478,24.0,34.29
479,18.02,20.54
480,7.59,24.7
481,18.33,24.94
482,9.07,31.01
483,21.75,14.62
484,20.63,24.3
485,24.0,21.44
486,14.0,23.51
487,17.25,26.29
488,17.34,25.37
489,23.46,28.45
490,7.23,13.18
491,42.65,16.35
492,20.67,27.95
493,24.0,21.27
494,17.43,20.12
495,18.75,14.87
496,28.81,13.3
497,7.49,22.38
498,19.88,21.63
499,24.0,32.36
