quadro,x_cm,y_cm
10,8.2,2.3
11,23.46,24.83
12,25.71,25.5
13,5.91,1.71
14,12.82,37.0
15,7.98,31.18
16,6.26,7.93
17,9.49,9.3
18,16.06,31.52
19,20.85,19.48
20,26.0,37.65
21,26.0,31.23
22,38.87,5.16
23,21.31,22.96
24,4.81,28.55
25,38.15,30.5
26,20.37,24.12
27,7.36,32.29
28,41.4,12.77
29,38.61,37.6
30,8.74,17.14
36,26.0,30.86
37,20.49,20.85
38,42.99,33.52
39,12.27,36.93
40,38.9,34.53
47,16.82,11.53
48,9.81,27.36
49,37.61,7.09
50,30.82,28.69
51,32.31,23.37
52,17.06,28.29
53,33.88,14.31
54,30.1,27.34
55,15.48,27.51
56,21.28,24.61
57,24.96,28.6
58,27.13,3.87
59,43.88,33.08
60,21.19,23.66
61,27.58,2.59
62,4.96,23.13
63,12.0,30.57
68,37.83,34.53
69,38.09,9.2
70,21.73,24.97
71,27.51,37.13
72,20.5,22.86
73,16.27,38.51
74,15.57,36.73
75,6.61,18.98
76,6.48,37.05
77,19.06,26.17
78,5.32,26.35
79,5.64,31.47
80,23.24,30.8
81,9.88,35.44
82,9.38,9.84
83,28.7,25.46
84,37.6,37.64
88,6.19,31.74
89,18.08,25.39
90,33.26,28.03
91,2.77,26.97
92,18.68,0.76
93,18.23,27.56
94,34.55,15.6
97,43.77,37.23
98,37.51,33.49
99,17.7,30.04
100,43.61,37.31
101,19.58,23.79
102,8.11,31.88
105,6.63,16.83
106,17.4,24.03
107,16.31,30.86
108,24.02,34.39
109,10.16,38.07
110,35.49,15.36
111,29.5,9.81
112,42.26,24.92
113,22.03,30.56
114,25.18,33.04
115,15.55,26.39
116,22.26,28.28
117,4.31,6.67
118,38.32,27.48
119,14.84,23.83
120,24.7,26.38
121,22.99,28.14
122,23.02,25.83
123,33.22,31.65
124,45.95,31.17
125,35.24,25.35
126,24.2,33.63
127,16.67,26.22
128,5.63,26.49
129,30.92,32.23
130,16.5,36.99
131,29.31,33.21
132,14.17,37.97
133,27.27,10.96
134,11.59,8.4
135,22.69,25.12
136,26.0,24.82
139,16.33,37.53
140,9.82,15.96
141,14.24,0.93
142,22.38,0.29
143,26.0,28.72
144,38.37,0.59
145,14.98,29.49
146,31.95,28.68
147,12.91,30.73
148,11.1,28.85
149,46.9,32.03
150,19.28,34.02
151,43.01,29.7
152,13.09,24.11
153,12.95,25.54
154,14.29,38.05
155,6.74,24.64
156,23.32,37.23
157,26.0,30.85
158,20.71,26.03
159,23.53,26.14
160,20.27,23.26
161,21.81,22.43
162,4.7,33.52
163,15.27,32.34
164,35.34,12.06
165,10.52,1.47
169,15.74,34.66
170,9.98,12.83
171,16.2,24.73
172,9.44,7.95
173,13.02,36.01
174,34.55,5.9
175,29.14,17.62
179,8.78,34.73
180,25.02,0.89
181,16.37,33.27
182,34.07,25.7
183,10.31,33.27
184,12.9,22.48
185,15.56,9.17
186,13.34,19.78
187,6.53,10.72
188,3.72,24.73
189,18.4,33.13
193,12.3,28.41
194,23.36,22.38
195,27.05,32.27
196,40.77,36.53
197,38.53,7.6
198,21.36,34.78
199,30.08,2.96
200,19.97,26.25
201,37.13,34.47
202,26.0,25.14
203,35.63,11.81
206,7.2,24.03
207,32.27,24.94
208,11.62,32.62
209,15.45,23.51
210,7.51,1.51
211,41.79,29.79
212,16.61,22.98
213,20.87,26.95
214,21.03,35.91
215,23.04,2.01
216,7.12,26.59
217,20.21,19.45
218,25.14,35.69
219,8.45,15.39
220,34.78,8.7
221,8.69,11.42
222,27.86,28.68
223,2.89,25.46
224,6.27,23.6
225,20.83,22.88
226,8.8,6.53
227,9.24,11.89
228,22.89,37.82
229,26.0,28.6
230,31.95,26.37
231,18.38,22.71
232,26.0,25.86
233,3.5,10.79
234,37.25,16.29
