quadro,x_cm,y_cm
12,18.65,39.66
13,22.03,34.41
14,3.73,33.34
15,5.22,39.47
16,23.32,32.92
19,24.44,15.74
20,23.41,2.38
21,33.49,36.99
22,15.83,18.58
23,24.0,27.82
24,16.87,34.85
25,3.92,22.35
26,17.3,23.16
27,19.61,27.15
28,40.9,26.18
29,45.21,13.4
30,17.79,26.82
31,41.47,34.54
32,13.39,30.24
33,7.41,27.51
34,21.7,26.37
35,16.07,19.61
36,15.72,22.79
37,13.95,33.52
38,2.85,16.77
39,22.07,25.33
40,29.41,39.25
41,22.28,24.24
42,9.32,32.85
43,16.88,26.49
44,16.58,17.5
45,9.62,18.21
46,22.31,32.11
47,32.21,29.89
48,8.13,35.64
49,12.63,21.34
50,9.89,11.08
51,16.97,27.41
52,21.17,24.99
53,9.87,2.78
54,20.49,30.98
55,8.68,35.93
56,19.01,25.51
57,39.52,25.49
58,30.42,14.9
59,10.26,26.53
60,20.22,20.88
64,36.9,6.18
65,15.89,21.24
66,43.07,4.18
67,14.78,30.04
68,21.89,31.88
69,19.47,24.76
70,13.09,31.11
71,45.15,8.04
72,40.03,7.97
73,17.5,18.42
74,18.6,2.05
75,17.75,26.2
76,44.06,12.38
77,1.52,31.55
78,3.2,36.46
79,5.88,5.23
83,6.93,28.44
84,7.55,34.82
85,20.57,28.65
86,24.0,32.52
87,42.91,6.86
88,35.71,13.95
89,23.13,27.42
90,3.36,14.75
91,29.61,26.86
92,36.57,12.96
93,19.43,35.01
94,20.82,19.33
95,15.7,22.73
96,37.53,13.62
97,22.49,27.15
98,20.26,26.93
99,24.0,36.83
100,16.18,27.59
101,1.88,37.48
102,13.88,26.29
103,15.09,11.86
104,46.53,17.11
105,13.67,33.38
106,43.66,2.63
107,4.33,14.35
108,23.02,27.64
109,24.0,28.52
110,9.38,9.47
111,22.05,25.67
112,42.67,4.91
113,40.2,16.54
114,15.72,33.96
115,16.81,18.12
116,35.28,25.93
117,23.17,27.9
118,24.0,38.27
119,22.78,19.48
120,3.44,29.57
121,7.87,7.13
122,24.0,30.16
123,24.0,37.2
124,10.75,34.71
125,4.27,24.53
126,25.29,28.92
127,22.86,22.82
128,1.75,7.98
129,10.79,6.9
130,19.25,19.75
131,23.12,18.15
132,20.06,24.46
133,17.25,17.59
134,5.7,9.84
135,21.43,27.46
136,10.72,24.87
137,18.8,25.93
138,23.5,31.37
139,25.96,35.91
140,0.99,38.37
141,11.41,32.77
142,21.27,26.72
143,8.86,31.31
144,21.64,36.26
145,21.84,25.95
146,7.5,9.86
147,8.44,12.81
148,18.33,22.52
149,16.4,26.86
150,10.77,24.71
151,21.61,20.09
152,38.63,9.93
153,22.75,35.13
154,26.53,38.41
155,18.63,33.94
156,40.45,6.71
157,34.86,31.65
158,37.39,36.03
159,13.33,38.33
160,24.0,26.47
161,17.63,26.14
162,6.0,38.5
163,20.57,19.91
164,32.79,34.69
165,22.14,20.91
166,24.0,34.09
167,4.89,33.32
168,8.05,36.06
169,17.83,32.15
170,32.16,12.58
171,22.94,29.95
172,18.79,22.72
173,3.73,33.15
174,31.55,12.24
175,21.69,25.06
176,4.3,32.93
177,36.9,8.45
178,3.47,24.85
179,21.83,18.85
180,11.99,36.62
181,18.78,20.74
182,13.94,33.0
183,15.39,27.85
184,17.24,27.57
185,14.56,31.38
186,18.52,35.92
187,2.21,29.58
188,21.07,26.55
189,22.04,19.92
190,31.22,14.74
191,7.17,29.59
