quadro,x_cm,y_cm
9,44.51,30.79
10,20.06,16.91
11,44.41,23.11
12,18.16,21.35
13,4.58,33.0
14,19.95,33.41
15,20.3,20.94
16,12.19,7.65
17,11.59,33.53
18,38.17,0.59
19,4.25,25.15
20,8.31,37.81
21,35.81,20.68
22,14.59,20.33
23,40.9,28.89
24,43.47,11.72
25,42.12,5.67
26,10.67,22.22
27,6.89,31.7
28,34.1,7.67
29,23.0,31.57
30,47.77,32.36
31,28.65,18.36
32,0.52,33.84
33,9.41,33.51
34,13.01,35.08
37,19.37,23.34
38,34.34,9.9
39,9.7,32.54
40,41.1,8.92
41,20.39,29.19
42,14.71,17.62
43,17.59,30.49
44,36.44,7.34
45,2.75,2.12
46,35.49,9.23
49,14.57,20.04
50,38.05,7.13
51,2.4,31.53
55,7.33,6.48
56,23.0,28.29
57,6.92,2.26
58,21.59,1.8
59,5.77,34.68
60,20.43,24.3
61,14.7,32.77
62,23.0,30.81
63,11.22,20.87
64,31.76,18.73
65,17.81,21.41
66,14.31,21.21
67,15.11,21.14
68,20.92,30.88
69,46.02,3.35
70,23.0,33.76
71,41.93,10.82
72,38.43,19.98
73,47.21,38.08
74,43.39,6.23
75,23.0,28.48
76,21.41,22.42
77,17.05,21.57
78,12.63,24.29
79,37.82,2.54
80,27.25,21.52
81,12.3,35.61
82,44.94,7.94
83,2.67,11.07
84,46.08,10.19
85,16.26,15.72
86,20.28,5.59
87,18.03,24.24
88,22.38,22.29
89,47.4,8.86
90,41.53,25.92
91,3.59,21.52
92,22.06,34.26
93,37.17,2.48
94,17.76,16.82
95,15.83,21.65
96,23.0,22.32
97,43.02,9.84
98,16.09,21.65
99,2.96,33.51
100,13.91,16.73
104,35.24,4.92
105,8.6,35.97
106,23.0,21.7
107,45.14,8.32
108,14.65,22.19
109,45.54,10.52
110,5.98,29.73
111,16.23,21.3
115,40.06,3.46
116,15.27,23.09
117,21.84,14.15
118,19.69,22.75
119,21.8,17.83
120,44.34,9.35
121,16.57,24.52
122,16.33,3.88
123,2.76,24.64
124,14.26,35.66
125,28.56,8.78
126,38.27,13.25
127,12.93,22.37
128,5.09,15.67
129,47.03,15.32
130,11.45,33.52
131,11.24,22.77
132,23.0,32.48
133,21.96,29.15
134,19.18,18.63
135,24.78,16.99
136,23.0,34.08
137,4.61,12.31
138,10.45,22.21
139,35.11,8.88
140,9.27,5.64
141,42.29,0.88
142,36.58,15.27
143,19.37,23.61
144,17.69,22.26
145,40.92,28.08
146,35.61,14.59
149,1.99,37.18
150,5.89,25.4
151,31.48,3.25
152,17.68,20.99
153,21.04,12.51
154,41.18,8.23
155,34.46,9.34
156,5.05,15.35
157,19.24,15.6
158,28.48,16.54
159,23.0,36.49
160,19.09,13.05
161,9.05,21.11
162,19.03,19.97
163,1.9,33.71
164,6.65,24.12
165,36.59,5.68
166,4.23,25.91
167,19.02,33.31
168,34.51,13.34
169,8.28,31.42
170,24.38,37.69
171,39.1,8.42
172,43.21,15.12
173,41.48,0.98
174,6.65,36.73
175,19.32,19.89
179,7.89,34.67
180,7.08,22.46
184,15.79,23.34
185,41.66,0.8
186,22.64,20.44
187,39.2,12.35
188,43.72,11.0
189,36.38,17.67
190,41.43,5.26
191,15.37,36.1
192,10.42,12.33
193,18.78,24.28
194,30.59,11.6
195,5.27,26.28
196,29.88,13.12
197,38.54,14.12
198,11.29,25.22
199,42.68,13.81
200,25.57,33.18
201,15.93,36.1
202,35.26,1.71
203,26.03,14.27
204,15.85,34.05
205,2.76,15.42
206,21.1,18.7
207,32.95,11.94
208,15.02,20.22
209,0.69,32.59
210,36.77,10.01
211,27.02,1.52
212,21.24,16.52
213,18.92,23.94
217,20.99,20.19
218,19.93,21.04
219,18.46,28.48
220,23.0,30.45
221,16.82,29.49
222,16.1,20.17
223,15.09,20.55
224,16.9,23.35
225,2.48,3.4
226,31.21,8.59
227,21.53,30.57
228,17.97,14.76
229,41.23,2.74
230,42.54,11.07
233,20.93,25.1
234,16.18,23.58
235,0.7,14.1
236,3.16,36.42
237,20.33,12.77
238,21.36,20.49
239,4.11,14.84
240,22.07,34.05
241,17.41,27.72
242,23.0,21.29
245,35.22,2.39
246,15.68,31.6
247,44.55,18.66
248,20.83,20.3
249,6.0,34.2
250,23.0,23.8
251,16.84,19.43
252,20.97,32.68
253,2.85,25.5
254,13.51,0.73
255,1.92,14.84
256,42.36,5.48
257,46.07,13.59
258,45.49,9.25
259,7.32,13.14
260,23.16,16.55
