quadro,x_cm,y_cm
4,25.03,11.09
5,36.62,15.37
6,18.46,3.11
7,24.1,17.96
8,13.08,0.05
9,43.21,7.74
10,19.71,14.12
11,18.13,39.37
12,2.73,33.12
13,40.03,27.61
14,19.72,17.05
15,25.46,21.25
16,18.15,21.28
17,22.89,15.86
21,26.0,22.04
25,4.19,22.7
26,24.76,17.05
27,21.24,21.64
28,12.39,38.4
29,35.23,10.82
32,30.46,4.0
33,37.06,34.25
34,41.01,23.87
35,6.45,21.46
36,5.86,26.21
37,23.7,24.51
38,19.81,22.88
39,23.03,37.97
40,7.31,27.84
41,26.0,32.39
42,24.36,18.53
43,40.33,0.66
44,22.65,25.61
45,45.95,30.55
46,17.87,20.21
47,9.63,22.84
48,14.17,36.28
49,19.79,22.64
50,0.34,1.57
51,18.44,0.21
52,2.85,31.51
53,17.99,31.18
54,19.67,23.83
55,17.31,26.09
60,18.21,22.5
61,20.86,24.22
62,23.56,21.6
63,29.7,18.74
64,7.96,30.45
65,17.75,20.33
66,24.79,22.19
72,10.05,28.53
73,23.82,34.45
74,22.28,20.63
75,41.79,24.86
76,18.89,21.22
77,24.13,27.14
78,4.79,33.57
79,15.13,21.95
80,20.95,22.32
81,9.76,37.19
84,24.87,22.44
85,34.5,6.91
86,6.0,14.53
87,39.03,14.65
88,9.68,33.9
92,35.07,0.1
93,24.87,31.34
94,34.47,3.26
95,24.8,5.59
96,16.13,22.76
97,22.76,22.19
98,19.09,21.36
99,21.79,21.55
100,24.64,10.17
101,18.7,17.85
102,10.53,38.32
103,41.27,29.94
104,23.96,20.9
105,36.83,33.25
106,13.57,34.95
107,4.77,6.35
108,6.97,9.73
109,19.53,37.29
110,36.6,20.6
111,47.5,25.63
112,4.15,0.97
113,20.26,14.73
114,39.27,2.85
115,25.53,14.09
116,43.45,35.88
117,30.33,20.57
118,19.47,23.19
122,25.43,18.83
123,18.37,21.91
124,21.14,20.9
125,19.47,10.84
126,22.03,15.69
127,4.62,16.34
128,18.68,14.02
129,33.51,37.15
130,21.43,17.43
134,17.93,19.54
135,22.87,16.19
136,29.84,11.45
137,18.28,26.52
138,15.2,36.96
139,3.32,24.65
140,16.53,23.92
141,42.17,18.57
142,32.99,9.32
143,39.03,35.76
144,17.74,38.39
145,12.85,11.87
146,24.02,16.21
147,42.88,8.48
148,3.49,10.55
149,8.93,32.89
153,2.02,5.08
154,27.46,30.62
155,40.54,4.19
156,0.81,0.87
157,21.53,0.82
158,21.48,37.64
159,38.15,7.1
163,19.04,20.23
164,21.97,21.8
165,12.58,6.53
169,44.43,29.16
170,26.0,20.84
171,2.17,8.57
172,20.65,13.46
173,25.37,23.99
174,10.56,35.28
175,31.7,24.04
176,16.7,21.07
177,11.25,4.64
178,15.21,31.73
179,4.22,34.3
180,3.88,28.23
184,14.91,29.38
185,8.53,7.58
186,18.62,24.21
192,36.67,7.89
193,9.03,24.68
194,39.9,8.35
195,21.72,24.58
196,16.41,19.5
197,13.46,32.79
198,24.91,33.66
199,10.42,28.77
203,41.59,38.54
204,20.96,16.03
205,13.46,30.32
206,23.16,24.06
207,0.53,18.44
208,21.43,22.1
209,8.32,27.69
210,24.69,13.86
211,38.29,6.64
212,20.54,19.7
213,45.55,29.67
214,16.87,25.27
215,13.35,20.85
216,21.22,33.91
217,20.98,21.87
218,37.92,8.81
219,13.2,33.43
220,20.98,36.61
221,42.25,14.04
224,17.36,14.23
225,7.4,24.03
226,32.7,7.99
227,17.49,22.53
228,17.16,21.0
231,36.61,11.91
232,12.16,27.27
233,19.3,24.81
234,21.15,16.61
235,41.29,18.56
236,23.23,14.35
237,23.36,37.74
241,16.91,38.4
242,26.0,31.91
243,19.34,8.25
244,10.0,24.16
245,20.52,19.76
248,36.32,32.87
249,17.8,26.58
250,35.85,7.19
251,39.76,10.82
252,37.97,5.14
256,12.51,37.81
257,41.74,14.39
258,24.22,17.46
259,18.55,21.25
260,19.86,22.47
261,17.1,38.04
262,32.5,3.05
263,34.94,23.76
264,22.35,34.45
265,6.35,14.68
266,39.55,5.49
270,24.36,16.42
271,43.85,10.42
272,23.14,22.37
273,24.68,20.29
277,40.45,5.74
278,8.18,23.64
279,11.9,25.32
280,20.82,31.53
281,24.97,23.5
282,42.37,19.07
283,24.06,15.16
284,23.02,37.16
285,22.04,26.47
286,5.36,37.84
287,4.36,36.85
288,18.4,33.23
289,5.19,20.74
292,29.43,3.41
295,6.2,29.03
296,12.98,35.16
297,24.01,23.43
298,42.18,8.74
299,8.61,15.16
300,21.31,17.63
301,22.39,37.32
302,4.3,37.79
303,18.79,20.28
304,22.77,15.71
305,25.77,5.85
306,34.37,33.51
307,15.23,8.51
308,14.49,21.25
309,22.33,23.73
310,33.55,23.09
311,7.1,14.88
312,41.02,10.01
313,37.24,6.19
314,22.08,24.53
315,18.64,38.39
316,9.0,34.77
317,20.86,18.32
318,26.47,26.55
319,24.21,22.76
320,4.01,23.44
321,12.28,29.94
322,42.37,14.06
323,27.86,28.42
324,11.55,29.92
325,18.71,2.28
326,24.94,22.51
327,18.02,25.08
328,23.3,36.65
329,18.22,19.29
332,20.96,21.53
333,26.0,31.44
334,41.88,38.4
335,35.68,23.81
336,4.63,1.47
337,28.14,34.6
338,1.41,11.63
339,40.2,4.21
340,37.54,13.38
341,11.73,28.49
342,39.92,2.74
343,6.17,27.43
344,38.77,2.86
345,16.76,7.54
346,7.24,36.1
347,18.27,15.1
348,16.53,20.51
349,27.02,37.98
350,4.52,7.96
351,19.02,8.09
352,34.35,11.34
353,1.76,32.94
354,37.62,11.81
357,9.74,3.85
358,22.73,20.21
359,14.91,36.84
360,25.02,13.7
364,44.45,28.58
365,4.63,27.36
366,26.0,33.07
367,4.19,4.95
368,19.64,22.96
369,38.83,4.4
372,15.87,13.91
373,18.0,35.38
374,26.0,26.58
375,22.75,15.46
376,17.81,34.81
377,18.75,26.98
378,31.56,16.95
379,23.56,18.71
380,26.0,33.49
381,10.37,19.74
382,6.13,37.25
